Time,solar_irradiance,temp,hour_sun
20230113:0510,0,0,8.43
20230113:0610,0,0,8.07
20230113:0710,0,0,8.05
20230113:0810,28.91,5.66,7.95
20230113:0910,84.8,11.78,8.01
20230113:1010,121.41,16.06,7.86
20230113:1110,115.56,18.13,8.29
20230113:1210,135.87,17.77,8.62
20230113:1310,67.45,15.03,7.83
20230113:1410,46.25,10.17,8.05
20230113:1510,14.45,3.59,7.65
20230113:1610,0,0,7.04
20230113:1710,0,0,6.89
20230113:1810,0,0,6.65
20230113:1910,0,0,6.33
20230113:2010,0,0,6.06
20230113:2110,0,0,6.08
20230113:2210,0,0,5.87
20230113:2310,0,0,5.73
20230114:0010,0,0,5.74
20230114:0110,0,0,5.59
20230114:0210,0,0,5.54
20230114:0310,0,0,5.35
20230114:0410,0,0,5.19
20230114:0510,0,0,5.14
20230114:0610,0,0,5.3
20230114:0710,0,0,5.15
20230114:0810,25.05,5.77,5.2
20230114:0910,48.18,11.91,5.71
20230114:1010,63.6,16.21,6.14
20230114:1110,103.72,18.3,6.92
20230114:1210,88.22,17.96,7.75
20230114:1310,44.33,15.22,8.24
20230114:1410,28.91,10.36,7.87
20230114:1510,6.75,3.78,7.76
20230114:1610,0,0,7.75
20230114:1710,0,0,7.88
20230114:1810,0,0,8.1
20230114:1910,0,0,8.18
20230114:2010,0,0,8.55
20230114:2110,0,0,8.89
20230114:2210,0,0,9.06
20230114:2310,0,0,9.19
20230115:0010,0,0,9.26
20230115:0110,0,0,9.31
20230115:0210,0,0,9.3
20230115:0310,0,0,9
20230115:0410,0,0,8.02
20230115:0510,0,0,6.82
20230115:0610,0,0,6.14
20230115:0710,0,0,5.02
20230115:0810,19.27,5.88,4.8
20230115:0910,36.62,12.05,4.68
20230115:1010,66.49,16.37,4.67
20230115:1110,117.58,18.47,4.88
20230115:1210,44.39,18.14,5.11
20230115:1310,63.6,15.42,5.61
20230115:1410,50.11,10.56,5.67
20230115:1510,7.71,3.98,5.49
20230115:1610,0,0,4.86
20230115:1710,0,0,4.61
20230115:1810,0,0,4.42
20230115:1910,0,0,4.31
20230115:2010,0,0,4.09
20230115:2110,0,0,3.79
20230115:2210,0,0,3.69
20230115:2310,0,0,3.53
20230116:0010,0,0,3.33
20230116:0110,0,0,3.4
20230116:0210,0,0,3.41
20230116:0310,0,0,3.14
20230116:0410,0,0,3.38
20230116:0510,0,0,3.48
20230116:0610,0,0,3.45
20230116:0710,0,0,3.01
20230116:0810,29.87,6,2.88
20230116:0910,88.65,12.19,3.26
20230116:1010,85.76,16.53,3.82
20230116:1110,78.42,18.65,3.41
20230116:1210,133.68,18.34,3.33
20230116:1310,113.71,15.62,3.4
20230116:1410,77.09,10.77,3.96
20230116:1510,19.27,4.18,4.26
20230116:1610,0,0,4.05
20230116:1710,0,0,3.53
20230116:1810,0,0,3.27
20230116:1910,0,0,3.11
20230116:2010,0,0,3.05
20230116:2110,0,0,2.82
20230116:2210,0,0,2.74
20230116:2310,0,0,2.8
20230117:0010,0,0,2.55
20230117:0110,0,0,2.45
20230117:0210,0,0,2.23
20230117:0310,0,0,2
20230117:0410,0,0,1.69
20230117:0510,0,0,1.27
20230117:0610,0,0,0.86
20230117:0710,0,0,-0.14
20230117:0810,32.76,6.13,-0.43
20230117:0910,49.14,12.34,0.33
20230117:1010,57.82,16.7,1.48
20230117:1110,111.35,18.84,2.01
20230117:1210,139.53,18.54,2.57
20230117:1310,110.82,15.83,2.97
20230117:1410,68.42,10.98,3.12
20230117:1510,20.24,4.39,3.02
20230117:1610,0,0,1.86
20230117:1710,0,0,0.79
20230117:1810,0,0,0.12
20230117:1910,0,0,-0.34
20230117:2010,0,0,-0.6
20230117:2110,0,0,-0.63
20230117:2210,0,0,-1
20230117:2310,0,0,-1.23
20230118:0010,0,0,-1.34
20230118:0110,0,0,-1.39
20230118:0210,0,0,-1.32
20230118:0310,0,0,-1.32
20230118:0410,0,0,-1.16
20230118:0510,0,0,-1.2
20230118:0610,0,0,-1.2
20230118:0710,0,0,-0.85
20230118:0810,24.09,6.27,-1.01
20230118:0910,93.47,12.49,-0.52
20230118:1010,106.62,16.88,0.21
20230118:1110,46.27,19.04,0.95
20230118:1210,40.33,18.75,1.35
20230118:1310,57.82,16.04,1.47
20230118:1410,42.4,11.19,1.51
20230118:1510,20.24,4.6,1.04
20230118:1610,0,0,-0.01
20230118:1710,0,0,-1.34
20230118:1810,0,0,-0.45
20230118:1910,0,0,-2.58
20230118:2010,0,0,-3.53
20230118:2110,0,0,-3.79
20230118:2210,0,0,-3.77
20230118:2310,0,0,-3.72
20230119:0010,0,0,-3.61
20230119:0110,0,0,-3.39
20230119:0210,0,0,-2.95
20230119:0310,0,0,-2.27
20230119:0410,0,0,-1.75
20230119:0510,0,0,-1.1
20230119:0610,0,0,-0.69
20230119:0710,0,0,-0.56
20230119:0810,35.65,6.41,-0.87
20230119:0910,52.03,12.66,-0.28
20230119:1010,77.8,17.06,0.42
20230119:1110,58.81,19.24,0.53
20230119:1210,70.58,18.96,0.35
20230119:1310,45.29,16.26,-0.05
20230119:1410,69.38,11.41,-0.18
20230119:1510,27.94,4.81,-0.07
20230119:1610,0,0,-0.29
20230119:1710,0,0,-0.26
20230119:1810,0,0,-0.19
20230119:1910,0,0,-1.02
20230119:2010,0,0,-1.47
20230119:2110,0,0,-1.77
20230119:2210,0,0,-1.82
20230119:2310,0,0,-1.44
20230120:0010,0,0,-1.87
20230120:0110,0,0,-2.12
20230120:0210,0,0,-2.29
20230120:0310,0,0,-2.44
20230120:0410,0,0,-2.56
20230120:0510,0,0,-3.03
20230120:0610,0,0,-3.52
20230120:0710,0,0,-2.66
20230120:0810,42.4,6.56,-2.51
20230120:0910,84.8,12.83,-1.54
20230120:1010,97.84,17.25,-0.14
20230120:1110,142.2,19.45,0.87
20230120:1210,145.56,19.18,1.45
20230120:1310,115.63,16.49,1.72
20230120:1410,83.83,11.63,1.72
20230120:1510,27.94,5.03,1.38
20230120:1610,0,0,0.34
20230120:1710,0,0,-1.08
20230120:1810,0,0,-1.8
20230120:1910,0,0,-1.95
20230120:2010,0,0,-2.05
20230120:2110,0,0,-1.63
20230120:2210,0,0,-1.64
20230120:2310,0,0,-1.49
20230121:0010,0,0,-1.77
20230121:0110,0,0,-2.03
20230121:0210,0,0,-1.89
20230121:0310,0,0,-1.63
20230121:0410,0,0,-1.98
20230121:0510,0,0,-2.32
20230121:0610,0,0,-2.14
20230121:0710,0,0,-2.36
20230121:0810,44.33,6.71,-2.24
20230121:0910,96.36,13,-1.43
20230121:1010,125.14,17.45,-0.65
20230121:1110,147.31,19.66,-0.25
20230121:1210,133.02,19.41,0.12
20230121:1310,105.87,16.72,0.18
20230121:1410,32.76,11.86,0.23
20230121:1510,6.75,5.26,-0.15
20230121:1610,0,0,-0.72
20230121:1710,0,0,-0.89
20230121:1810,0,0,-0.89
20230121:1910,0,0,-0.49
20230121:2010,0,0,-0.35
20230121:2110,0,0,-0.18
20230121:2210,0,0,-0.15
20230121:2310,0,0,-0.13
20230122:0010,0,0,-0.14
